age,annual_income,loan_amount,credit_score,debt_to_income,employment_years,num_open_accounts,delinquencies_2yrs,loan_term_months,home_ownership,default
23,59205.83,22637.02,639,0.047,27,7,1,12,OWN,0
47,40702.47,21472.94,713,0.36,14,8,0,60,OWN,0
28,81240.51,13723.1,636,0.395,26,14,0,12,OWN,0
57,48696.51,12688.75,685,0.173,31,6,0,60,OWN,0
54,16309.39,1089.48,530,0.507,20,8,0,48,RENT,1
66,29639.72,6550.04,439,0.373,31,15,1,48,MORTGAGE,1
57,12000.0,17546.87,680,0.552,38,10,0,12,OWN,0
38,50317.49,13896.94,684,0.406,30,9,1,48,OWN,0
68,51232.32,15599.42,688,0.19,20,14,0,60,RENT,0
41,46510.75,23314.03,608,0.419,19,5,0,24,MORTGAGE,0
36,76577.58,5501.42,769,0.451,33,1,0,36,MORTGAGE,0
65,78970.4,13110.56,613,0.268,34,15,0,12,MORTGAGE,1
39,51592.23,16509.69,684,0.134,10,9,0,36,OWN,0
24,12306.13,9366.72,698,0.365,0,6,0,48,OWN,0
44,67345.63,26451.82,787,0.2,32,1,0,24,RENT,0
59,66107.2,22268.69,625,0.518,9,18,0,48,RENT,1
30,61187.83,17321.07,598,0.289,39,14,0,12,OWN,0
43,74629.59,29353.85,530,0.609,1,5,0,48,RENT,1
27,31703.44,3008.84,774,0.031,36,12,0,36,RENT,0
54,95175.11,14938.19,684,0.37,27,9,1,24,MORTGAGE,0
44,35811.44,17930.7,686,0.564,12,6,0,24,OWN,1
37,69984.46,7683.56,850,0.216,1,6,1,24,MORTGAGE,0
32,21253.05,17405.72,676,0.326,33,1,0,48,MORTGAGE,1
48,36394.71,6147.34,546,0.29,4,19,0,48,RENT,1
53,85327.37,20524.46,634,0.247,3,18,0,36,MORTGAGE,0
67,49782.0,23462.68,572,0.387,31,17,0,12,OWN,1
42,71798.45,17178.67,618,0.156,27,6,1,24,MORTGAGE,0
28,59739.11,1000.0,618,0.333,5,19,2,60,RENT,1
61,52900.84,7265.65,603,0.427,13,5,0,36,OWN,1
51,82277.01,19517.68,539,0.318,26,16,0,36,OWN,0
55,50266.82,15169.59,777,0.2,26,2,0,24,OWN,0
25,19385.24,1000.0,674,0.505,14,6,1,60,OWN,1
36,38935.2,24942.64,632,0.46,16,11,0,24,RENT,1
58,66023.83,16093.25,711,0.194,3,19,0,48,RENT,0
61,62910.18,8447.4,688,0.156,0,5,1,48,OWN,0
42,23658.83,22959.64,672,0.207,38,8,1,24,OWN,0
60,40513.15,9579.68,705,0.432,9,16,0,12,OWN,1
62,43365.57,9492.38,661,0.391,37,9,0,24,OWN,0
39,47690.61,17866.82,704,0.469,1,13,1,24,RENT,0
65,27481.73,29248.31,710,0.301,39,8,0,48,MORTGAGE,0
35,42432.58,27988.7,663,0.211,17,0,0,36,RENT,0
32,40427.79,17877.69,632,0.488,32,5,0,36,MORTGAGE,1
54,70430.67,18699.09,772,0.267,33,11,0,36,RENT,0
52,71182.43,21331.99,612,0.378,14,0,0,60,MORTGAGE,1
27,52083.79,4944.13,681,0.118,29,4,0,60,RENT,0
61,47159.2,20153.19,683,0.265,13,19,1,12,MORTGAGE,0
30,57798.49,9127.41,601,0.501,31,0,1,60,RENT,1
60,38668.5,17547.82,585,0.243,38,4,2,24,OWN,1
21,32063.36,13180.26,622,0.472,32,12,0,48,OWN,0
60,36195.58,19009.67,611,0.0,29,11,0,60,RENT,0
59,42303.74,15944.83,533,0.266,14,4,1,36,OWN,0
59,31730.52,1000.0,598,0.324,4,1,0,48,RENT,1
53,58241.19,16431.13,671,0.611,20,17,0,36,OWN,0
44,69594.31,20137.22,751,0.175,5,11,0,12,OWN,0
55,23258.03,18567.43,694,0.451,20,11,0,12,RENT,0
34,55502.57,14179.31,442,0.509,34,1,1,24,MORTGAGE,1
59,50601.28,28137.29,701,0.242,4,4,1,60,OWN,1
48,61830.17,17490.99,605,0.294,36,1,1,24,MORTGAGE,0
43,54741.22,18501.39,686,0.371,23,19,0,36,MORTGAGE,1
45,25928.01,23355.94,649,0.128,1,15,4,36,RENT,1
48,29752.21,17900.74,635,0.282,28,10,0,24,RENT,1
22,55588.47,7815.86,642,0.541,0,13,0,36,MORTGAGE,1
27,75575.62,1000.0,648,0.428,24,3,3,48,RENT,0
33,12000.0,11183.03,758,0.326,20,19,0,60,RENT,0
26,61914.53,21087.56,648,0.367,29,10,0,48,OWN,0
42,78792.44,12175.23,737,0.437,15,10,0,60,MORTGAGE,0
53,51939.48,21409.43,725,0.466,4,19,0,36,RENT,1
53,66004.05,16189.83,703,0.267,15,1,1,48,OWN,0
44,40938.62,25304.53,507,0.58,30,8,1,12,OWN,1
62,52612.68,12638.27,739,0.547,38,1,0,12,OWN,0
48,22581.73,18740.92,613,0.452,8,8,1,60,OWN,1
24,12000.0,19047.08,707,0.224,14,5,1,48,RENT,0
58,73855.32,27012.81,572,0.197,35,9,0,12,OWN,0
49,35300.1,1346.9,555,0.301,12,14,0,36,RENT,1
52,45889.44,11332.73,808,0.359,9,5,0,60,MORTGAGE,0
48,27271.15,21788.13,573,0.085,33,1,2,12,RENT,0
48,26800.61,27367.17,742,0.424,19,3,0,36,MORTGAGE,0
25,51523.25,16920.57,659,0.543,23,14,1,60,RENT,0
48,40408.46,12658.37,616,0.436,19,11,0,60,OWN,1
59,62559.42,21056.95,646,0.249,24,19,2,24,RENT,0
35,64050.77,21949.62,546,0.231,10,17,1,60,OWN,1
50,61416.99,12122.71,649,0.395,29,3,0,48,MORTGAGE,0
22,59772.02,17642.46,563,0.327,14,14,0,36,MORTGAGE,1
38,86555.36,24444.22,618,0.416,20,1,0,48,MORTGAGE,0
42,33648.12,30123.67,724,0.44,7,1,0,60,OWN,0
69,53901.3,20940.84,670,0.514,0,15,0,24,OWN,1
31,77653.8,15353.11,531,0.18,22,8,0,12,MORTGAGE,1
34,80290.8,14567.4,718,0.383,5,19,0,48,MORTGAGE,0
41,26564.73,19459.17,649,0.295,36,0,1,12,MORTGAGE,0
69,48752.89,14074.62,607,0.335,38,10,0,48,RENT,0
62,82162.42,16517.12,710,0.48,12,6,0,24,RENT,0
22,65161.58,6536.99,637,0.496,11,19,1,48,RENT,0
32,58905.26,25376.46,557,0.56,20,13,0,48,RENT,1
61,50646.31,5878.52,798,0.414,8,15,2,12,MORTGAGE,0
23,47323.98,11543.11,649,0.333,34,5,0,12,RENT,0
62,60764.38,15780.75,643,0.312,4,17,0,48,MORTGAGE,0
34,49952.52,30927.9,618,0.09,18,16,0,36,MORTGAGE,0
65,54148.43,11618.54,744,0.551,7,15,0,12,OWN,0
35,56571.97,9671.87,608,0.302,33,9,1,60,RENT,0
42,41438.57,10593.46,526,0.426,5,18,0,24,RENT,1
53,65642.59,28271.18,596,0.452,17,13,1,60,MORTGAGE,1
27,113284.89,1000.0,756,0.163,33,1,0,12,MORTGAGE,0
48,19460.27,6978.1,717,0.211,17,17,0,24,OWN,0
45,61480.25,36850.31,630,0.582,7,0,0,36,OWN,1
59,39796.2,19727.06,760,0.394,6,13,0,36,MORTGAGE,0
69,66548.05,6152.12,710,0.263,24,4,1,48,MORTGAGE,0
53,55931.15,14664.66,629,0.331,4,17,1,12,MORTGAGE,1
41,70237.1,15539.64,637,0.513,14,14,1,24,RENT,0
40,78510.13,21769.0,676,0.49,24,16,0,24,RENT,0
41,58848.42,29716.02,583,0.13,15,13,0,36,OWN,1
60,77641.05,18108.41,650,0.595,33,11,0,60,OWN,1
36,12000.0,10681.69,675,0.495,27,17,0,36,OWN,0
29,86809.05,21296.68,515,0.327,5,5,0,60,OWN,1
37,62501.24,9413.98,635,0.171,32,10,1,24,MORTGAGE,0
22,76556.87,6733.3,626,0.508,36,5,0,24,MORTGAGE,0
26,30602.49,1000.0,732,0.421,8,2,1,12,MORTGAGE,0
25,38384.6,2478.97,502,0.131,14,17,0,24,MORTGAGE,1
58,57918.77,7828.44,619,0.315,15,9,1,24,OWN,1
56,54659.24,5577.68,611,0.819,17,1,0,24,OWN,1
55,60661.37,17505.89,727,0.352,18,16,0,48,OWN,0
43,76690.3,5404.79,647,0.239,35,18,0,36,MORTGAGE,0
56,19695.59,1000.0,794,0.199,26,13,0,48,MORTGAGE,0
28,74476.38,6648.71,703,0.616,35,6,2,12,OWN,0
65,55165.64,11225.12,617,0.477,14,17,0,60,MORTGAGE,1
45,50924.36,10156.4,669,0.561,20,14,1,12,RENT,0
66,25577.7,27156.2,622,0.387,4,5,1,12,OWN,1
28,65060.97,10091.66,719,0.538,11,6,0,36,MORTGAGE,0
45,12000.0,22047.39,543,0.223,23,19,2,48,MORTGAGE,1
55,67967.88,14848.14,584,0.374,6,19,1,24,OWN,1
45,25157.88,14661.56,686,0.393,38,13,0,12,RENT,0
42,56069.16,8316.96,748,0.557,10,0,0,60,MORTGAGE,0
29,52616.62,14529.74,474,0.398,6,4,0,60,MORTGAGE,1
39,78390.76,8879.23,760,0.256,31,7,1,48,OWN,0
32,51426.9,16360.19,639,0.36,3,10,0,24,MORTGAGE,1
35,41117.23,13110.0,499,0.099,12,17,0,36,OWN,0
54,44867.95,7442.98,410,0.002,7,16,2,48,OWN,1
51,80457.66,22935.15,528,0.475,27,5,0,36,RENT,1
50,65725.94,18414.72,648,0.294,33,2,1,12,OWN,0
38,47287.4,11415.5,645,0.311,7,5,1,60,OWN,1
68,50271.07,16163.94,701,0.475,16,4,1,60,OWN,0
25,23656.46,14329.42,606,0.56,19,17,0,12,RENT,0
37,62769.48,8059.27,561,0.43,27,0,0,48,OWN,1
26,19803.69,15563.97,617,0.639,14,16,0,60,MORTGAGE,1
37,70035.93,10031.91,653,0.425,20,13,0,36,MORTGAGE,0
68,57572.43,7440.53,668,0.395,20,2,1,12,RENT,0
38,102739.04,2017.86,587,0.386,0,13,0,48,OWN,1
65,32997.29,12131.14,722,0.157,22,11,0,60,RENT,0
45,52946.76,19535.77,600,0.493,22,0,0,24,MORTGAGE,1
55,90965.75,9442.73,580,0.0,39,4,0,12,OWN,1
43,78827.79,35165.67,607,0.262,20,6,0,24,MORTGAGE,0
34,41075.76,22085.49,736,0.353,35,4,1,60,OWN,0
58,59479.35,25434.64,639,0.232,13,11,0,36,RENT,0
68,55039.99,21361.94,594,0.282,27,12,1,12,OWN,0
33,60639.12,29822.92,724,0.626,36,3,0,36,OWN,0
59,41026.39,8703.98,821,0.516,6,2,2,60,MORTGAGE,0
33,53213.59,1000.0,667,0.247,22,13,0,12,MORTGAGE,0
56,23038.95,11431.0,749,0.28,36,9,0,36,MORTGAGE,0
59,57702.47,19465.75,733,0.158,22,5,0,24,MORTGAGE,0
43,64000.41,16212.14,602,0.456,35,5,1,12,OWN,0
57,50451.61,17203.78,652,0.313,16,0,1,36,OWN,0
34,22698.98,25567.28,547,0.055,35,17,0,48,OWN,1
24,74770.64,18056.46,634,0.365,25,16,1,48,OWN,0
25,62290.5,21391.3,600,0.416,19,11,0,12,RENT,1
42,40479.7,7483.5,618,0.494,8,6,0,12,MORTGAGE,1
65,49387.99,6236.85,590,0.339,6,4,2,36,OWN,1
27,24986.61,27912.91,627,0.294,11,6,0,24,OWN,1
43,34491.8,15807.21,693,0.648,30,18,2,24,MORTGAGE,0
55,44243.77,10014.17,640,0.351,18,1,0,36,OWN,1
30,79568.42,10028.84,501,0.458,15,16,1,48,OWN,1
56,42209.93,9807.02,590,0.269,18,6,0,36,OWN,0
35,67804.27,9328.33,528,0.453,13,5,0,60,MORTGAGE,1
60,44233.68,4734.82,670,0.132,32,16,0,12,RENT,0
49,59958.95,2996.64,690,0.281,15,19,1,36,RENT,0
47,52172.09,13439.96,671,0.169,18,19,1,36,RENT,0
29,72461.13,10256.59,587,0.259,22,5,1,48,MORTGAGE,0
43,44303.77,23857.27,670,0.538,25,11,0,36,RENT,0
62,23549.43,17344.61,612,0.258,13,5,2,60,MORTGAGE,1
21,27361.02,17122.54,559,0.458,2,3,0,60,MORTGAGE,1
58,44362.45,9055.04,709,0.578,27,7,0,48,MORTGAGE,0
45,30018.8,14031.77,715,0.346,22,1,1,24,RENT,0
56,63204.24,17888.01,726,0.499,25,3,1,24,OWN,0
53,45684.64,20729.57,601,0.43,21,11,1,36,OWN,0
42,102492.13,14248.87,744,0.367,20,13,0,36,RENT,0
36,20245.71,23632.99,611,0.463,37,5,1,12,RENT,1
51,59072.66,15063.91,702,0.626,2,11,1,24,MORTGAGE,1
27,32440.94,21342.78,609,0.254,3,15,0,60,OWN,0
49,45131.97,11081.18,632,0.206,37,17,1,36,OWN,0
25,57828.39,1000.0,456,0.197,35,11,0,60,MORTGAGE,1
52,12000.0,17146.87,626,0.499,16,4,0,24,OWN,1
51,59736.52,20802.59,657,0.519,21,14,0,60,MORTGAGE,0
25,93058.15,19602.78,617,0.269,17,3,1,60,RENT,0
58,45931.23,18377.49,790,0.03,39,2,0,24,RENT,0
41,60196.16,12211.3,557,0.249,18,7,0,48,RENT,1
59,75498.43,8546.03,605,0.432,30,6,1,60,OWN,0
23,51720.93,19413.83,578,0.34,14,2,1,48,MORTGAGE,1
29,43380.8,18411.58,605,0.377,15,1,0,60,OWN,1
45,12000.0,10512.81,733,0.271,26,18,0,12,RENT,0
30,67819.81,23875.39,768,0.502,15,13,1,12,RENT,0
37,52736.63,7937.08,594,0.401,0,14,0,12,OWN,1
53,34746.32,10331.81,592,0.438,6,1,0,24,RENT,1
28,57531.93,28091.4,557,0.374,34,15,1,48,RENT,1
54,43326.39,21948.66,755,0.429,14,7,0,60,RENT,0
26,44431.48,12135.93,740,0.419,4,14,2,36,OWN,1
29,67125.82,17299.05,642,0.211,37,9,1,36,MORTGAGE,0
49,28232.35,16238.34,538,0.406,39,4,0,60,MORTGAGE,1
59,75946.31,1000.0,545,0.469,19,5,0,36,RENT,1
29,27046.28,7748.21,664,0.523,25,2,1,36,MORTGAGE,1
35,41745.97,14593.23,694,0.412,30,16,0,12,OWN,0
66,93458.92,12147.11,485,0.205,2,8,0,24,OWN,1
69,77547.1,16976.82,624,0.228,11,15,1,48,MORTGAGE,0
49,56952.08,24035.86,779,0.285,22,16,1,48,RENT,0
42,36189.4,12427.71,633,0.378,21,3,0,36,OWN,0
37,44414.55,6538.76,769,0.332,13,6,0,48,RENT,0
51,56465.51,17598.81,702,0.181,0,2,0,48,OWN,1
49,55750.46,12387.01,563,0.181,38,0,0,12,RENT,0
35,53182.58,13751.49,627,0.035,24,19,0,60,RENT,0
22,54383.35,12665.81,640,0.0,30,13,1,48,OWN,0
28,50712.5,32934.7,574,0.33,17,9,0,24,RENT,1
67,26160.43,1000.0,572,0.698,20,4,1,24,MORTGAGE,1
41,44669.79,11893.33,771,0.62,17,11,1,60,RENT,0
44,73292.48,14970.49,572,0.203,17,10,0,24,RENT,1
43,27633.31,8750.86,736,0.372,26,4,0,12,OWN,0
59,51208.89,22198.61,615,0.13,39,0,0,12,OWN,0
24,38604.92,21506.06,648,0.153,31,9,1,24,OWN,0
25,57227.01,14617.96,695,0.17,26,10,0,48,MORTGAGE,0
34,47227.34,12834.61,602,0.316,0,15,0,36,OWN,1
44,84547.87,14104.35,695,0.323,20,7,0,48,OWN,0
53,65131.66,14161.71,486,0.388,38,1,0,24,MORTGAGE,1
45,28763.94,14373.02,685,0.449,15,17,0,24,OWN,1
42,68424.56,13496.01,453,0.299,21,8,0,36,RENT,1
66,39506.96,17019.59,632,0.355,12,14,1,48,OWN,1
28,43460.07,21025.7,718,0.186,7,0,0,36,MORTGAGE,0
49,61276.38,5157.92,700,0.148,28,0,0,48,RENT,0
47,45165.05,6594.69,546,0.125,12,0,2,12,MORTGAGE,1
44,72857.12,1011.86,556,0.447,23,15,0,36,OWN,1
60,39509.8,21931.18,595,0.299,23,4,0,36,RENT,1
34,42621.07,17002.59,665,0.069,33,15,0,12,OWN,0
67,41872.58,19042.14,487,0.341,37,18,2,24,OWN,1
37,43687.23,3564.01,649,0.163,22,13,1,24,MORTGAGE,1
47,76983.83,29279.58,675,0.599,2,19,1,36,RENT,1
46,67575.93,10129.19,627,0.263,23,18,0,12,RENT,0
62,89198.88,16345.65,692,0.452,35,14,1,24,RENT,0
42,100352.88,21835.08,668,0.513,19,16,0,60,OWN,0
34,34385.66,7104.16,607,0.207,22,12,0,12,MORTGAGE,0
22,56408.38,10629.41,495,0.361,30,4,1,60,MORTGAGE,1
38,31475.99,16433.37,661,0.433,17,2,0,36,OWN,0
61,39447.88,37859.78,574,0.367,16,7,1,12,OWN,1
21,42398.35,17409.0,604,0.404,19,9,0,36,OWN,1
64,33856.9,27850.89,688,0.151,34,6,0,36,RENT,0
47,33962.25,24645.39,763,0.433,19,2,1,24,OWN,0
27,52114.31,17944.08,647,0.277,13,10,0,24,MORTGAGE,0
35,30665.63,7086.43,694,0.402,23,9,0,48,OWN,0
48,71842.54,23478.03,534,0.488,27,19,2,12,RENT,1
36,36644.93,3015.12,670,0.45,36,19,2,60,RENT,0
26,111191.38,27807.0,645,0.402,35,12,0,24,MORTGAGE,0
53,45972.31,16600.04,748,0.446,31,17,0,24,MORTGAGE,0
53,56440.35,1000.0,607,0.453,30,6,1,12,RENT,0
26,29093.18,12275.95,631,0.574,17,19,0,60,OWN,1
34,89121.84,20231.58,735,0.345,13,18,0,24,MORTGAGE,0
32,77390.01,13103.81,643,0.375,22,2,0,60,RENT,0
53,60938.32,20720.05,561,0.49,28,14,0,24,RENT,1
56,28063.95,8199.81,850,0.276,20,9,0,12,OWN,0
56,59213.34,4552.14,564,0.15,8,5,0,36,OWN,1
66,32571.38,14428.44,645,0.424,0,8,1,36,OWN,0
58,84247.11,15252.53,678,0.319,2,18,0,36,MORTGAGE,0
36,71183.89,12212.93,671,0.169,17,18,0,60,MORTGAGE,0
26,56908.78,24818.33,635,0.425,31,6,0,36,OWN,0
51,12000.0,8198.34,635,0.565,31,9,1,48,RENT,1
65,35331.68,17505.32,631,0.106,32,10,2,24,RENT,1
68,68755.22,15543.76,561,0.503,28,14,1,12,RENT,1
32,79257.67,2546.27,822,0.0,0,9,0,36,RENT,0
32,77183.4,4447.76,632,0.29,35,7,0,36,OWN,0
22,23159.74,15095.29,698,0.626,37,18,0,36,RENT,0
27,61031.05,30849.6,623,0.301,33,7,1,48,OWN,1
48,75310.3,19634.16,622,0.363,17,5,0,60,RENT,0
47,21833.29,1194.92,614,0.464,8,6,0,12,MORTGAGE,1
39,54841.91,1000.0,526,0.093,36,6,0,12,OWN,0
36,60476.85,20864.43,637,0.361,7,11,1,24,MORTGAGE,1
61,48984.71,14230.29,617,0.36,31,13,0,36,OWN,1
43,17956.76,24130.13,744,0.629,38,2,0,12,RENT,0
60,48486.04,7954.26,554,0.165,36,17,1,12,MORTGAGE,0
68,48453.89,17801.7,604,0.293,20,5,0,36,RENT,1
36,52038.55,21769.39,578,0.211,33,2,0,24,MORTGAGE,0
30,43730.57,11420.29,765,0.195,33,13,0,60,MORTGAGE,0
67,46139.76,11591.32,580,0.519,38,4,0,36,MORTGAGE,0
52,54205.87,15202.1,695,0.354,14,15,0,60,OWN,0
35,63849.09,19341.41,728,0.267,25,18,0,48,OWN,0
51,48911.46,14885.33,638,0.272,32,13,1,36,OWN,0
46,46807.02,22791.97,540,0.266,9,15,0,60,OWN,1
65,56847.08,11304.52,541,0.279,9,9,0,60,MORTGAGE,1
33,16581.68,4372.84,719,0.16,15,6,0,36,OWN,0
69,64540.7,30815.8,549,0.311,14,12,2,60,RENT,1
66,54988.74,10162.93,681,0.296,30,7,1,24,OWN,0
29,55793.87,10452.46,659,0.236,37,17,0,24,MORTGAGE,0
29,74214.69,14473.57,680,0.373,6,9,1,48,RENT,0
47,15943.69,15537.45,688,0.386,13,9,0,48,OWN,1
23,15523.32,11906.53,575,0.267,37,13,0,24,MORTGAGE,1
35,60476.08,14860.53,572,0.328,23,3,0,48,RENT,1
42,54857.66,14681.9,707,0.674,8,11,1,36,MORTGAGE,1
68,58403.54,16398.55,600,0.668,24,15,0,36,MORTGAGE,1
69,45757.46,1000.0,430,0.192,35,15,1,60,RENT,1
28,68287.07,30047.01,702,0.213,14,4,0,12,MORTGAGE,0
64,73652.78,13821.69,567,0.191,19,1,0,36,OWN,0
25,64679.65,19644.98,687,0.509,24,3,0,24,RENT,0
57,49783.43,3975.19,761,0.29,33,16,0,36,RENT,0
62,12846.21,11232.0,651,0.386,22,5,0,12,RENT,0
64,70384.72,9621.47,730,0.65,38,1,0,12,OWN,0
31,79434.57,26757.79,662,0.348,30,11,0,48,RENT,0
64,67891.17,10313.49,777,0.456,16,17,2,12,OWN,0
26,37407.15,21064.64,565,0.428,19,4,3,36,MORTGAGE,1
46,68475.89,9796.64,649,0.262,27,0,0,60,MORTGAGE,0
44,72210.59,11379.05,704,0.509,2,2,0,60,MORTGAGE,0
36,86176.32,13035.6,635,0.223,9,2,1,12,OWN,0
22,37477.8,25270.76,742,0.551,9,4,1,60,MORTGAGE,0
58,50470.91,1000.0,615,0.262,32,3,0,24,OWN,0
37,69945.44,4474.69,816,0.278,32,12,0,12,RENT,0
53,56148.2,1000.0,820,0.187,32,4,1,36,MORTGAGE,0
41,32653.45,6299.98,673,0.211,4,10,2,36,RENT,1
39,63292.33,8507.2,694,0.286,11,8,0,24,MORTGAGE,0
64,66573.23,2084.15,745,0.0,12,13,0,36,OWN,0
25,56759.26,9126.82,555,0.315,0,13,1,12,MORTGAGE,1
57,59391.7,1000.0,545,0.274,10,11,0,24,RENT,0
57,49825.88,6856.09,751,0.469,17,17,0,12,OWN,0
39,84565.58,24603.36,672,0.413,35,3,0,60,OWN,0
33,36986.16,18228.7,632,0.244,6,10,0,36,OWN,0
21,43253.58,16499.74,651,0.281,34,7,0,36,OWN,0
66,55219.71,6977.77,459,0.315,32,10,1,36,OWN,1
67,72579.08,2711.32,635,0.573,6,2,2,60,MORTGAGE,1
32,25052.54,5886.75,590,0.227,10,6,0,48,MORTGAGE,0
22,28794.07,14654.32,723,0.242,18,18,0,48,RENT,0
27,14245.43,21945.41,730,0.181,37,16,0,24,MORTGAGE,0
24,55653.9,22218.94,696,0.128,31,8,0,24,OWN,0
61,32633.88,20044.9,682,0.396,38,2,0,60,OWN,0
64,47309.0,9099.55,530,0.38,12,12,0,60,RENT,1
28,68227.56,15196.4,697,0.542,36,6,0,24,MORTGAGE,0
57,42169.15,12429.26,700,0.506,38,6,0,24,MORTGAGE,0
29,59625.64,13390.48,750,0.71,23,1,0,24,RENT,0
38,49013.24,31297.02,819,0.339,6,5,0,48,MORTGAGE,0
50,68442.29,1000.0,515,0.311,10,4,0,60,RENT,1
56,64502.56,13122.59,619,0.155,5,0,0,60,MORTGAGE,0
63,41161.33,24693.99,591,0.454,32,11,0,60,RENT,1
23,51626.96,3272.87,664,0.368,12,19,0,24,OWN,0
30,75874.87,9850.02,651,0.448,28,2,0,24,RENT,0
34,62867.54,10767.69,631,0.179,10,1,0,60,MORTGAGE,0
36,27060.76,13213.68,732,0.403,39,2,0,24,OWN,0
69,68112.36,2232.34,562,0.381,30,10,1,24,MORTGAGE,1
59,33307.79,19762.29,567,0.371,15,16,0,60,OWN,1
36,83250.26,20330.3,568,0.248,19,6,0,36,RENT,0
68,75481.98,19067.0,621,0.528,2,2,2,12,MORTGAGE,1
45,60797.71,8037.01,552,0.658,5,1,0,60,RENT,1
45,58144.66,15692.09,646,0.183,39,12,0,24,OWN,0
42,50819.35,7804.48,637,0.458,32,7,1,24,RENT,0
28,68570.48,12339.23,587,0.0,33,7,1,36,RENT,0
66,47584.44,32227.74,720,0.45,25,4,0,24,OWN,0
21,59711.4,15765.56,645,0.069,8,17,0,60,MORTGAGE,0
29,72438.69,5499.79,735,0.271,4,7,0,48,RENT,0
32,43763.87,16442.68,634,0.153,29,14,0,36,RENT,0
34,42676.15,4185.63,648,0.318,13,14,1,24,MORTGAGE,0
27,31112.69,5407.92,605,0.476,0,1,0,36,RENT,0
21,33710.55,6671.01,649,0.071,0,4,2,24,RENT,0
54,18432.09,11445.52,707,0.296,22,17,1,60,MORTGAGE,0
68,69596.58,22495.75,617,0.273,33,17,1,48,OWN,0
